id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm1045883,Trippin’ with the Kandasamys,MOVIE,"To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.",2021,,93,"['romance', 'comedy']",['ZA'],,tt14611368,4.9,376,17.846,6.8
tm1147041,Chief Daddy 2: Going for Broke,MOVIE,"The Beecroft family are ready to spend all of Chief Daddy's inheritance, but not if the CEO of his company has anything to do with it.",2021,,112,['comedy'],['NG'],,tt16760592,3,144,74.519,5.7
ts285471,The Wedding Coach,SHOW,Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,2021,TV-MA,33,"['comedy', 'reality']",['US'],1,tt14210424,5,87,1.525,10
ts325991,Only Jokes Allowed,SHOW,Six of South Africa's top comedians take center stage and showcase their talent in this collection of short stand-up sets.,2022,TV-MA,16,['comedy'],['ZA'],1,tt17052148,4.9,45,1.629,10
tm1108171,Edis Starlight,MOVIE,Rising star Edis's career journey with ups and downs.,2021,,74,"['documentation', 'music']",[],,,,,0.985,8.5
tm1045018,Clash,MOVIE,A man from Nigeria returns to his family in Canada and discovers that Western culture has changed his children in ways that he does not approve.,2021,,88,"['family', 'drama']","['NG', 'CA']",,tt14620732,6.1,34,1.253,
tm987730,Tribhanga,MOVIE,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",2021,,95,"['drama', 'family']",['IN'],,tt11102314,6.2,2922,4.294,7
tm1019084,Ginny & Georgia - The Afterparty,MOVIE,"Cast members of the hit Netflix show join the hosts to unpack the drama of Season 1, and Cristela Alonzo offers tips for being the new kid at school.",2021,R,35,[],"['CA', 'US']",,,,,3.715,7.9
tm1094060,My Heroes Were Cowboys,MOVIE,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021,PG,23,['documentation'],['US'],,tt15084326,,,3.145,7.7
tm1047429,Alan Saldaña: Locked Up,MOVIE,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",2021,,49,['comedy'],[],,,,,6.67,6
ts287804,Mad Crazy Colombian Comedians,SHOW,Four of Colombia's funniest and bawdiest comedians perform before a post-quarantine audience hungry for their stories.,2021,,33,[],['CO'],1,,,,0.84,1
tm1038025,Slay,MOVIE,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities.",2021,,93,"['romance', 'comedy']",['ZA'],,tt14033300,3.2,103,1.676,6
tm986017,Gatao: The Last Stray,MOVIE,"A Qing encounters the photographer Xiao Qi at the full moon banquet of the daughter of the big brother Ren Ge at the corner of the Beiguan. They fall in love with each other. But, sadly, they aren't able to stay together at the end.",2021,,120,"['action', 'crime', 'drama', 'romance']",['TW'],,tt14720502,5.9,266,3.141,4.9
tm988613,Madam Chief Minister,MOVIE,A political-drama where a young woman from a small village rises to power into the world of politics by breaking barriers of caste and patriarchy and overcomes the obstacles placed by her opponents to become the chief minister and work for the upliftment of backward classes.,2021,,123,['drama'],['IN'],,tt13773882,4.8,1769,2.301,6.7
tm1080697,Binti,MOVIE,Four Tanzanian women are unknowingly connected through their ability to persevere extreme hardships in the city of Dar-es-Salaam.,2021,,99,['drama'],"['TZ', 'GB']",,tt11867140,5.6,122,1.921,9
tm1046969,Myriam Fares: The Journey,MOVIE,"From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown.",2021,,72,"['documentation', 'music']",['LB'],,tt14773250,2.3,167,1.487,
tm1099320,Convergence: Courage in a Crisis,MOVIE,"Activists and volunteers work through the darkest days of 2020, galvanizing social change amidst chaos as governments start to fail local communities. This epic, globally spanning and deeply passionate documentary serves as a clarion call that great change can be born of crisis.",2021,R,113,['documentation'],"['GB', 'US']",,tt15398694,5.4,262,6.589,5.2
tm1040959,The Circle: The Afterparty,MOVIE,"Stars of The Circle drop by to discuss Season 2's big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another.",2021,,35,[],['US'],,,,,1.882,10
tm982470,Stuck Apart,MOVIE,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together.",2021,R,96,"['comedy', 'drama']",['TR'],,tt11213372,6,10515,7.403,6.2
ts270616,We Are: The Brooklyn Saints,SHOW,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.,2021,TV-14,47,"['documentation', 'sport']",['US'],1,tt13656220,6.5,162,2.523,10
ts302434,Plastic Cup Boyz: Laughing My Mask Off!,SHOW,Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.,2021,,33,[],[],1,,,,0.683,
tm1204412,"Let's Tie the Knot, Honey!",MOVIE,"Guille decides it's time to take the next step and that's how she looks to marry her sweetheart, but things get complicated and nothing goes as planned.",2022,,99,"['comedy', 'romance']",['PE'],,tt19892832,4.4,26,120.14,2
tm1049317,Upcoming Summer,MOVIE,"It tells the story of a girl who failed the college entrance exam and a young man who's a free soul.  Chen Chen failed the gaokao (National College Entrance Examination) while Zheng Yu Xing had to return to school because he missed the exams. The two ended up meeting because of a lie Chen Chen said and had to come up with a way to quell the doubts of their teachers and parents. Having met in their youth, they hold hands as they face different problems growing up and forge a deep friendship.",2021,,115,['drama'],['CN'],,tt13575838,6.7,486,3.257,6.2
tm1201341,"Rodrigo Sant'anna: I'm Here, I'm Queer!",MOVIE,"Whether he's making a grand entrance, sharing personal stories or bringing a host of quirky characters to life, Rodrigo Sant'Anna lights up the stage.",2022,,63,['comedy'],['BR'],,tt19883622,2.6,29,2.378,7.5
tm1110212,Little Big Mouth,MOVIE,"Kicked out of his band and home, a playful guitarist takes refuge with a bookkeeper, her son and dad. Is it possible make sweet music together?",2021,,94,"['comedy', 'music', 'romance']",['ZA'],,tt14537540,3.9,178,17.707,5.2
tm1011248,30-Mar,MOVIE,"Ali, the fugitive from a murder he does not even know whether he committed it or not, sets out to uncover truth with the help of his friend, the lawyer and his neighbor. Over time, he finds himself embroiled in cases much more dangerous than he imagined, making him on the verge of insanity or murder.",2021,,99,"['crime', 'drama', 'thriller']",[],,tt13694540,4,153,,
tm1122095,A Naija Christmas,MOVIE,A mother's Christmas wish - and the grand prize that comes with it - sets off a fierce competition between her sons.,2021,,121,"['comedy', 'drama', 'romance']",['NG'],,tt15565704,4.7,342,18.261,7
tm994923,"Our Lady of San Juan, Four Centuries of Miracles",MOVIE,Mexican feature film,2021,,122,"['drama', 'history']",['MX'],,tt10038660,6.2,82,8.236,7.8
tm1225897,Social Man,MOVIE,"Two competitive social media Influencers go head-to-head to snatch the ""Social Man"" of the year title and are willing to break all the rules to win.",2021,,96,"['comedy', 'drama']",[],,tt20198164,,,,
tm1183575,Celeb Five: Behind the Curtain,MOVIE,Jokes and improv take center stage as comedian girl group Celeb Five brainstorms material for a comedy special in this behind-the-scenes mockumentary.,2022,,55,"['comedy', 'documentation']",['KR'],,tt18570468,4.7,29,1.674,5
tm1026043,Just in Time,MOVIE,A meticulous clerk for a bookstore that has just been shuttered suddenly finds herself taking care of her cousin's witty 11-year-old daughter.,2021,,91,"['comedy', 'drama', 'family']",['KE'],,tt14243986,6.9,46,1.219,10
tm1121084,Izla,MOVIE,"Two brothers accompany a group of vloggers on their search for a mythical island. But when they find it, they uncover one sinister secret after another.",2021,,85,"['horror', 'comedy']",['PH'],,tt16161362,3.7,115,2.356,5.3
tm1082795,Lokillo: Nothing's the Same,MOVIE,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",2021,,64,['comedy'],['CO'],,tt14494898,4.7,53,34.522,7.6
tm1063339,Lee Su-geun: The Sense Coach,MOVIE,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows.",2021,,45,['comedy'],['KR'],,tt14880280,4.1,38,1.058,3.5
tm1037800,Soy Rada: Serendipity,MOVIE,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music.",2021,,70,"['comedy', 'drama']",['AR'],,tt14540480,6.2,78,7.514,4.5
tm918777,Geez & Ann,MOVIE,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache, and deception as their romance struggles.",2021,,105,"['drama', 'romance']",['ID'],,tt11936782,5,290,3.238,7.2
tm1020293,Dearest Boy,MOVIE,"A gang kidnapped Five children and demanding a hefty ransom, while parents turn to the police, grandmothers set a mission to save them themselves.",2021,,91,"['comedy', 'drama']",['SA'],,tt13524066,6,276,1.55,6
ts287729,Alma Matters: Inside the IIT Dream,SHOW,"In a ""nation of middle-class"" the IIT dream involves clearing the world's toughest public exam for guaranteed lifelong success. Life is not an exam though. It's a hustle, one that nobody trains them for. The result? Eternal tumult.",2021,TV-MA,49,"['documentation', 'drama']",['IN'],1,tt14512938,8.3,2346,1.493,9
tm851599,Tersanjung: The Movie,MOVIE,"After growing up in a tumultuous household, Yura finds herself in a love triangle with two close friends as she faces a personal and financial crisis.",2021,,114,"['drama', 'romance']",['ID'],,tt11668994,5.8,216,2.747,8.2
tm1110241,Kaaval,MOVIE,"Thampan and Antony are a long time best friends and business partners who owned a saw mill at Kattappana in the past. A family tragedy and its falling-out separates them for good. But now Antony and his family faces a grievous situation, and he is forced to ask his old friend for a help out. The timeline of the story spans over two generations",2021,,148,"['thriller', 'action', 'drama']",['IN'],,tt11182984,5.1,1497,1.978,5.3
tm993616,The Tambour of Retribution,MOVIE,The son of the swordsman falls in love with the daughter of Tagaga in a social paradox based on selling joy (wedding) and buying death,2021,,92,['drama'],['SA'],,tt13657102,6.8,1007,1.971,7.5
tm1099342,Devdas Brothers,MOVIE,"After their first heartbreaks, four jilted young men plan drastic ways to get back at the women who left them - and are in for a sobering lesson.",2021,,99,['drama'],[],,tt12478372,3.3,51,,
tm831387,What Happened to Mr Cha?,MOVIE,"With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become.",2021,,102,"['comedy', 'drama']",['KR'],,tt13667212,4.3,357,9.066,6.9
tm878575,The Heartbreak Club,MOVIE,"Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot.",2021,,101,"['comedy', 'drama', 'romance']",['ID'],,tt11841144,6.3,196,1.401,8
ts287687,Lava Ka Dhaava,SHOW,Actor Jaaved Jaafferi brings his signature humor to this Hindi dubbing of the show where teams creatively navigate rooms flooded with make-believe lava.,2021,,30,['reality'],['IO'],1,tt14492912,6.1,42,1.499,
tm1099969,Angeliena,MOVIE,"After a string of life-changing revelations, a beloved parking attendant pieces a new plan together and chases her dream of traveling the world.",2021,,95,"['comedy', 'drama', 'family']",['ZA'],,tt15303262,7.3,1164,3.827,6
ts319608,The Family That Sings Together: The Camargos,SHOW,"Surrounded by family and friends, Zezé Di Camargo and daughter Wanessa spend time together and collaborate creatively in this exclusive reality series.",2021,,39,"['documentation', 'music', 'reality']",['BR'],1,tt16260968,5.3,45,1.002,
tm846586,Layla Majnun,MOVIE,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way.",2021,,119,"['romance', 'drama']",['ID'],,tt11313944,6,277,2.727,7.5
ts288861,Let's Eat,SHOW,A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him -- but soon becomes her sidekick.,2021,TV-14,60,"['drama', 'comedy']",['TH'],1,tt15978704,8.2,5,2.334,
ts273317,Pitta Kathalu,SHOW,"Four different women, four journeys of love and betrayal. The common thread? They all want to dismantle the patriarchy.",2021,TV-MA,37,"['drama', 'romance']",['IN'],1,tt13878800,5.1,738,1.4,5.5
tm996479,Tuesdays And Fridays,MOVIE,Two millennials get into a relationship where they are allowed to meet only on 'Tuesdays & Fridays'.,2021,,106,"['romance', 'comedy']","['GB', 'IN']",,tt9176102,4.4,792,1.589,5.3
ts307884,HQ Barbers,SHOW,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",2021,TV-14,24,['comedy'],['NG'],1,,,,0.84,
tm1091956,A Faraway Land,MOVIE,"In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story.",2021,,101,['drama'],"['PH', 'FO']",,tt15260940,5,136,1.748,6.7
tm985747,I Missed You,MOVIE,"A woman who was overwhelmed by work and had no time to imagine the future. Her paralyzed life was interrupted by a live-streaming man who always has fun in life and acts wildly, resulting in a series of fermentation processes.",2021,,96,"['drama', 'romance']",['TW'],,tt14051714,5.7,250,2.451,6.3
tm959213,My Amanda,MOVIE,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.",2021,,89,"['drama', 'romance']",['PH'],,tt13136084,5.7,308,2.908,5.7
tm1040816,Momshies! Your Soul is Mine,MOVIE,"Three women with totally different lives accidentally get their souls switched as they struggle with the comedic misadventures of their new worlds, they realize that their own lives and families are worth loving and living for. Jolene, a famous person who always has fans in public, Mylene - an overprotected lady who always gets pleasure and love and Karlene - a rich famous social media influencer all switch bodies but their lives did not just change, but their souls switched that leaves them with no choice but to stick together to live the peculiar lives of each other. Karlene then has to convince a group of investors to invest in her near-bankrupt hotel, but no one believes her because she is trapped in Mylene’s body. In the process of all of their imaginative scenarios, they drew closer to each other into becoming the soul sisters they are destined to be.",2021,,108,['comedy'],['PH'],,tt14412240,5.8,27,2.17,
tm1053409,Happiness Ever After,MOVIE,"Five years later from where we left our characters, again tackling sisterhood and friendship, this time with the inclusion of a new romantic arc.",2021,,99,"['drama', 'romance']",['ZA'],,tt14307890,4.2,163,11.536,7.3
tm1165179,Kongsi Raya,MOVIE,"Jack - a Chinese chef-manager who is in-line to take over his family`s restaurant and Sharifah, a TV programme producer for her celebrity chef father Rahim - are crazy in love. But both their fathers are against their relationship and it all escalates in intensity until the two families challenge each other in a televised cooking competition. Jack and Sharifah must find a solution before all of that gets out of hand.",2022,,102,['comedy'],['MY'],,tt16806990,7,66,2.112,
tm1216735,Sun of the Soil,MOVIE,"In 14th-century Mali, an ambitious young royal named Mansa Musa ascended the throne of the richest kingdom in human history. This follows Malian artist Abdou Ouologuem on a journey to discover the truth behind the legendary African king.",2022,,26,[],[],,,,,1.179,7
tm985215,Princess 'Daya'Reese,MOVIE,"Reese is a con artist from Manila who dreams of living like royalty. An opportunity arrives in the form of Princess Ulap, a runaway princess from the mysterious kingdom of Oro, who looks exactly like her. Switching places in exchange for gold, Reese flies to Ulap's kingdom where she meets Caleb, a young and determined reporter who is doing a documentary on the island of Oro. The road to happily ever after becomes bumpy when the man in search for truth begins to fall in love with the fake princess.",2021,,115,"['comedy', 'romance']",['PH'],,tt13399802,7.1,50,1.383,
tm1066324,Super Monsters: Once Upon a Rhyme,MOVIE,"The Super Monsters rethink exemplary fantasies and most loved nursery rhymes with a melodic, otherworldly twist.",2021,,25,"['animation', 'family']",[],,tt14586752,5.6,38,53.762,6.3
tm1097142,My Bride,MOVIE,"The story follows a young man and woman who go through various situations in their journey to find the right partner, which raises questions about traditional marriage and marriage based on love.",2021,,93,"['romance', 'comedy', 'drama']",['EG'],,tt14216488,5,327,2.545,5.3
tm1074617,Bling Empire - The Afterparty,MOVIE,"The stars of ""Bling Empire"" discuss the show's success and play bling-themed games, then comic Joel Kim Booster makes his case for joining the cast.",2021,,35,[],['US'],,,,,,
